frequency;command name
git app;1
git sapply;2
git ap;21
git type;1
git cap;2
git fapu;3
git apply;156
git pp;7
git adp;2
git acp;1
git -am;1
git map;1
git agp;1
git aup;1
git camp;2
git campn;2
git cae;1
git save;3
git zap;1
git face;1
git aap;1
git pre;1
git fame;1
git take;1
git marge;1
git add;8850
git grep;696
git clone;2389
git logp;2
git wip;6
git tag;560
git -P;1
git stage;6
git tree;44
bat -pp;3
git merge;2585
git a;41
git p;38
git pf;7
git blame;176
git graph;103
git annex;23
git line;1
git ca;27
git po;8
git gp;2
git ps;15
git last;9
git pu;19
git lp;10
git $al;75
git pop;6
git patch;5
git ssave;1
git spop;1
git put;6
git up;106
git pl;22
git la;42
git pb;5
git pbf;1
git aa;31
gist -cop;1
git issue;8
gist -p;21
git move;3
git write;2
git laa;1
gct -am;1
git cp;147
git pr;18
git dump;2
git help;288
git ba;13
git cam;12
git sa;7
git sp;14
git cmap;1
git cmapu;1
git sfe;1
gist -pc;6
git $a;6
git pul;3
git pub;5
git task;2
git prune;7
git devp;1
gst apply;8
gst save;4
git pom;8
git adda;1
git ad;7
git addm;1
git addu;1
git ra;10
git open;35
gcc -pie;1
g++ -pie;1
gitg -a;1
git goup;1
git adog;1
git pair;6
git pc;2
gt -a;4
git au;6
git pot;1
git bmap;1
git am;6
git rup;1
git shove;3
git cached;2
gitx -all;2
gist -cp;1
git cpa;1
git cpc;1
git fe;5
git rbp;1
git xa;1
git ac;4
git cop;3
git fp;5
git lpj;1
git re;1
git snp;1
git alog;1
git hash;3
git aug;2
git ag;2
git pg;2
git stp;1
git plf;1
git master;1
gist -pcs;2
git tags;2
git where;4
git spi;1
git can;1
git aacan;1
git auca;1
git aaca;1
git aacom;1
git aamin;2
git hack;2
git praise;1
git damn;1
git reup;2
git ee;1
git av;1
git gup;1
git pus;3
git fpr;2
git bde;2
git puo;2
git rre;2
git sthp;2
git all;2
git ph;3
git graph1;1
git graph2;1
git gpu;1
git ffp;1
git frp;1
git fhp;1
git fbp;1
git mine;2
git lmine;1
git pup;2
git gre;1
git pkg;3
git caf;2
git cpm;1
git puf;3
git puu;2
git skipped;1
git raw;1
git ack;2
git pod;1
git plo;1
git poh;1
git lan;1
git -f;1
git fa;7
git copm;1
git padd;1
git pff;3
gcc -pipe;2
git rpo;2
git coprev;1
git wa;1
git sup;5
git ai;4
git bam;2
git grp;1
g++ -pipe;1
git op;1
git rank;1
git ha;2
git plr;1
git ga;2
git gaa;1
git gai;1
git see;1
git hp;1
git done;1
git oops;1
git wup;1
git tre;2
git fudge;1
git nuke;1
git ftp;2
git lag;1
git dup;1
git aam;1
git aau;1
git repl;2
git cac;1
git pt;1
git rau;1
git mcp;2
gitx -p;1
git subpre;1
git me;2
git one;1
git caq;1
git pum;4
git psh;1
git snap;1
git peek;1
git addl;1
git upd;1
git pa;1
git prev;1
gt apply;2
gt -p;1
git tyup;1
git af;1
git ce;2
git ka;1
git gpul;2
git unpus;1
git unpul;1
git gadd;1
git spu;1
git added;1
git amd;2
git rp;1
git ama;1
git amna;1
git amupd;1
git crpk;1
git chop1;1
git chop2;1
gt save;1
git mpr;1
git cpn;1
git aproj;1
